system:index,BG,BU,C,F,G,SI,SS,T,W,first,lat,lc,long,seqnum,.geo
1_0000000000000000153b,461104,88830,2193831,4108,5687541,100,6765,403741,150720,4,38.78594194387738,wc,40.6200705123653,2315.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000001500,7942684,3883,3513,0,709,0,130,375,0,3,28.117094467301715,wc,38.59873816555289,2256.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000014ff,7765783,10006,7225,0,67,0,1213,6320,43,3,25.819711123766567,wc,39.44143987176238,2255.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000014eb,49115,138319,294479,4284,144758,0,17345,857039,807339,8,42.066467372579666,wc,29.402388214790648,2235.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000014ca,7074624,32974,20868,120,418,0,2797,4837,873349,3,28.87224236444481,wc,32.64663937014003,2202.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000001521,251869,59530,737958,18470,1040582,0,4496,2158589,602095,8,41.52811460859169,wc,36.40912501732666,2289.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000001539,6998630,36746,422490,2609,615862,0,25324,9732,357439,3,34.097846768529905,wc,42.17077733205292,2313.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000001376,7587040,0,22315,0,131,0,31,0,0,3,22.837265158410958,wc,26.913768276128742,1862.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000014ea,653923,178544,2250600,2627,2367399,0,57763,3383504,219052,8,39.846614888505975,wc,30.571185559418517,2234.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000014d1,53096,223131,4746546,46589,1413720,0,3409,3191012,126634,4,44.3373324824595,wc,24.456310142289475,2209.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000014e7,32772,71818,54293,627,92026,0,45774,121747,241375,8,33.086555680069175,wc,33.740788217936675,2231.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000001558,585312,97198,1050480,22634,2423936,125978,18986,4151664,283631,2,42.9005604795533,wc,42.61213066593959,2344.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000135c,7834212,1155,40516,132,1607,0,171,1483,120,3,27.12109646130962,wc,27.727652666877873,1836.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000014e9,452279,134414,2594871,20189,2908226,0,218252,1595527,427614,2,37.60752640395978,wc,31.67941059544996,2233.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000001501,7850170,12221,182854,31,83957,0,1483,1491,167,3,30.41936447961534,wc,37.73253787142393,2257.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000001392,7447543,697,58518,1,6269,0,11252,1396,72666,3,22.637596396391135,wc,29.73831861053302,1890.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000014ec,75013,135096,4373693,397446,715312,0,577,930272,771862,2,44.26327149336202,wc,28.165191372013854,2236.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000133f,7747338,778,1958,0,316,0,63,681,61,3,25.208065416502244,wc,22.99609019443462,1807.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000012d6,98131,136816,1209703,19777,777090,0,254693,1829752,2348295,4,40.11932826544235,wc,23.651756343581404,1702.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000001519,7614980,5932,38,0,1,0,15,13,25,3,23.042512601869063,wc,43.13774879686668,2281.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000001520,891364,77726,2053980,1260,5326662,39,4297,604518,94075,6,39.233978237541955,wc,37.31652265658622,2288.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000001341,8024377,777,1966,1712,45,0,1229,4745,10701,3,29.347973254216527,wc,26.637576111142657,1809.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000014e6,5774082,186659,386619,1467,462974,0,172512,71346,370302,5,30.811973158395194,wc,34.70532514604306,2230.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000153c,226021,28465,161844,96,2363240,75,49,1805502,526007,8,41.10810570389599,wc,39.84378482297431,2316.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000151d,8261260,6559,7405,8,17261,0,1097,0,843,3,32.27516998225611,wc,39.9073610889347,2285.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000014e4,4068488,7416,4685,3256,757,0,864,5286,636678,3,26.252366080062156,wc,36.525850123423155,2228.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000130b,2352,145,23,2,6946,0,4248,2249,209167,8,33.745412607059734,wc,24.26359070590716,1755.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000151b,7769783,27686,87638,0,27603,0,1519,1223,334,3,27.632267850012,wc,41.54831355683858,2283.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000001378,7305658,80674,416887,1110,359,0,6118,32456,19910,3,26.895593012335,wc,30.665532359431044,1864.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000014c8,5843930,3262,30427,144,126,0,1628,1157,488880,8,24.350338839423877,wc,34.51142738682327,2200.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000014cf,214773,119738,1769828,33270,906808,0,156353,2591269,2839735,1,40.0160936612555,wc,27.13678756351841,2207.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000001556,749675,64776,867976,8639,6288576,61,2876,251098,696026,4,38.247555738154674,wc,43.870308053948335,2342.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000001536,7657647,46979,140794,94,17690,0,3330,10181,279,3,27.08857644202434,wc,44.48960282185481,2310.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000014cd,54003,24041,69349,2310,335410,0,86850,576020,548556,4,35.60263900292728,wc,29.51478980464951,2205.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000014ce,517877,165110,1669356,16293,1519259,0,283712,3252725,1417213,6,37.81903174606241,wc,28.359356742864044,2206.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000001504,732112,131943,1861911,28864,2657807,0,135067,1751775,594997,4,37.31116731378889,wc,34.960029350582275,2260.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000001555,985575,139392,2872501,387,4330090,0,75191,185342,67156,4,35.88352862284761,wc,44.54340261051718,2341.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000153d,39766,19900,15777,731,342685,2974,555,2329570,410788,8,43.40461314391891,wc,39.06718180543746,2317.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000014e8,112831,71333,274684,2238,685481,0,238605,646895,1136914,4,35.352946233955706,wc,32.733929956349584,2232.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000001326,4466266,2927,156582,300,33780,0,1778,13,442092,8,31.557893405091967,wc,25.48466014887504,1782.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000001537,8035776,7040,3735,0,3595,0,175,14,26,3,29.410038428739025,wc,43.71781728847014,2311.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000012f0,35910,10313,4624,532,167614,0,206092,397080,1727790,8,35.90498189048241,wc,22.968582864784164,1728.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000001506,90968,35722,300125,202,1018350,0,4819,2784722,509011,8,41.84847198059538,wc,32.926331058620804,2262.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000014fe,7535971,37382,7073,238,3036,0,6227,3861,49389,3,23.53153768793674,wc,40.26342412678394,2254.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000001557,484523,104729,1375222,2688,5965836,197,1414,1228392,72039,6,40.59101345567889,wc,43.225183763431914,2343.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000001342,2677496,67886,220565,6004,8297,0,15357,6685,490887,8,31.373209812300402,wc,28.577115441214023,1810.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000014e5,6573814,36744,43042,2689,8437,0,2040,2156,826082,3,28.532750462760454,wc,35.63227491671913,2229.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000151a,7727148,17926,11727,26,607,0,692,593,25,3,25.32781528808461,wc,42.348674018570655,2282.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
